Mean Value (nm/s^2),Std (nm/s^2)
126.3082772,216.7255966
43.96587298,216.4914892
-69.52124976,255.2508689
131.7184037,249.649709
-84.07102858,193.5583458
114.4078581,289.0661997
299.2066254,226.2425752
13.95575268,151.4665386
251.0922079,171.0072634
-150.2004353,349.7645293
126.2792932,188.7301304
-61.41704087,269.5355164
206.813267,162.5531685
-127.3343852,149.3464592
13.21806039,224.883984
-280.9394922,196.3688353
102.3250047,204.6826924
-57.16347617,191.3049114
25.26525436,204.3907383
-96.44295323,217.3315108
10.61189987,229.2840312
-52.9137415,240.1027622
239.5636925,186.0661518
187.3347779,199.7139425
-352.0724398,196.4822835
-214.1870588,219.4198578
321.8509401,227.9891058
-165.8669599,214.9871401
157.5319068,247.9003489
-573.2925495,381.9578339
-45.49746682,160.354188
-73.67405282,174.9490114
-52.81309379,185.2107555
193.1870263,247.9149056
-153.8428569,197.0262292
200.7937678,213.8050222
439.2186875,242.4465176
37.83511818,231.4297307
-240.8064601,566.2129219
74.05269508,224.8595503
80.64649296,217.5594445
-140.2462891,218.4328096
-176.7531542,208.731123
2.197719689,127.9840403
-65.41984947,111.2391115
-119.8935004,86.29390073
28.73397215,135.745914
10.12710685,152.2337552
305.0935157,104.9313889
-16.37530188,141.9552548
19.58697855,132.6305962
-49.03600023,80.81304645
33.56794931,143.9428154
138.748381,121.1394449
-60.72097165,95.87800434
61.60568771,99.83545167
118.2006757,107.4501291
101.748796,113.0626994
-10.85107446,111.6627446
23.25782055,107.7652794
-43.34213637,91.81644657
134.0392793,107.5849302
-30.2115961,104.6913207
15.96164584,98.93821143
-129.6987855,138.9816832
-10.50295007,95.66938491
156.0479525,96.11261881
-25.83979051,108.6552614
97.29510358,129.3465841
121.5193286,140.0294567
488.6932355,200.1492832
70.00427037,167.5552196
260.6918628,153.7649211
-86.79600732,189.947951
69.61416923,210.0975414
-226.9445318,196.3610205
102.9254974,258.3395832
96.24013496,199.6079178
169.5560466,181.5020248
-72.64588139,120.0369298
-202.9198336,136.7330022
180.2605178,113.7060894
-40.35104732,76.68423026
302.144949,128.3228224
201.1447173,106.9879338
272.2251555,216.5280562
473.4935247,268.3215511
-36.73516757,160.4049003
68.61479275,105.5073385
368.4405491,157.8863219
-2.42437862,150.9833393
197.5009123,209.5977269
329.5306217,349.3672052
128.0610601,315.4273081
-242.3021997,386.0638729
115.4134252,141.4680581
109.0681059,97.0710513
85.3831261,119.8588407
89.6433637,105.2258428
-7.742014172,111.9601015
-10.04557573,131.5587746
-12.13229872,122.2763426
-174.2377629,140.5333449
-200.9884802,150.7607751
82.65182623,140.194736
313.1997896,177.004317
-298.3545424,211.0637777
152.698215,160.1071183
364.699715,164.6716872
-120.7166243,168.2188016
10.5754995,136.8837077
18.06179915,124.6446272
73.48621235,118.2908755
217.5046251,105.1738924
53.15552786,105.1328489
350.2785013,139.2527935
400.6010485,157.5291375
141.7292106,120.6460009
66.74495224,113.3810279
16.49453206,128.6511897
122.0315607,120.2933747
166.8112158,142.7222531
173.2689095,160.8457637
247.4990545,154.8401398
-104.0009357,176.8789514
41.82657201,189.0713016
66.611793,133.880953
-58.03215486,172.5191092
84.73614437,144.158382
49.79173192,117.1776483
